R	Python (and esp. SciPy)	Matlab/Octave	Julia (a relatively new programming language for numerical computing)	Version Control and especially Git + GitHub	Project/File Organization	"Reference Managers/Tools (e.g., Endnote, Zotero, Mendeley)"	"Presentation Software/Tools (i.e., alternatives to PowerPoint)"	Mind Mapping Software	"Free/Open-Source SPSS-like Alternative Stats Packages (e.g., JASP, jamovi, PSPP)"	Tools/Websites for Open Science and Reproducible Research	"Programming Editors (e.g., Atom, Sublime, Emacs, Vim, Notepad++, ...)"	Tools/Approaches for Writing Papers with Many Co-Authors	Social Media / Podcasts Related to Science/Stats/Academia/Research/etc	markdown / Rmarkdown	LaTeX	Shiny	Jupyter / R Notebooks	Linux/Unix (or other operating systems besides Windows and MacOS)	Multicore/Parallel Processing	Cloud Computing	Scripting (via the command line / terminal)	
Very High	Low	Low	Low	Low	High	Very High	Very High	Medium	Very High	Medium	Low	High	Medium	High	Medium	High	High	Low	Low	Medium	Medium	0%
Very High	Very High	Very High	Very High	Very High	Very High	Very High	Very High		Very High	Very High	Very High	Very High	High	High	Medium	Medium	High	Medium	Medium	High	High	0%
High	Medium	Low	High	Medium	Low	Medium	Very High		High	Medium	Low	Very High	Medium	Low	High	Medium	Medium	Very High	High	Medium	Medium	0%
Medium	Very High	Medium	Low	High	High	Very Low	Very Low	Very Low	Very Low	Very Low	Low	Very Low	Very Low	High	Very High	Very High	Very High	High	Very High	Medium	Very High	0%
Very High	Medium	Very High	Low	Medium	Low	Very Low	Very Low	Very Low	High	Low	High	Very Low	Very Low	Low	Low	Medium	Medium	Very Low	Very Low	Low	Low	0%
Very High	High	Medium	Low	Very High	Very High	High	Medium	Low	Low	Very High	Low	Very High	Very High	Very High	High	High	High	Medium	High	Medium	Medium	0%
Very High	Medium	Medium	Low	Medium	High	Very High	High	High	Medium	Very High	Medium	Very High	High	Medium	Medium	Medium	Medium	Low	Low	Medium	High	0%
Very High	Medium	Medium	Very Low	High	High	High	Medium	Very Low	Very Low	Low	Low	Very High	High	Very High	Very Low	High	Low	Very Low	Low	Very Low	Very Low	0%
Very High	High	Medium	Medium	High	High	High	Medium	High	Medium	Low	Medium	Medium	Medium	Low	High	Low	Medium	Low	Low	Medium	Low	0%
Very High	Very High	Very Low	Low	High	Medium	Low	Very Low	Medium	Very Low	High	Medium	High	Low	Medium	High	High	Medium	Very Low	Medium	High	Medium	0%
Very High	Very High	Very High	High	High	Medium	Very High	High	Low	High	High	Medium	High	High	Medium	High	High	High	Very Low	Medium	High	High	0%
Very High	Medium	Medium	Medium	High	Very High	Very High	Very High	Very High	Medium	Very High	Low	Very High	High	Very High	Low	Low	Medium	Low	Very Low	High	High	0%
Very High	High	Medium	Low	Very High	High	Low	Medium	Low	Medium	High	Medium	Very Low	Low	Very High	Very High	Very High	High	Low	Very High	High	Medium	0%
Medium																						0%
Very High	Low	Low	Low	Low	Medium	High	High	Medium	High	High	Low	Very High	High	Medium	Low	Low	Medium	Low	Low	Medium	Low	0%
High	Very Low	Medium	Low	Medium	Very High	Very High	High	High	High	Medium	Low	High	Medium	Very High	High	Very Low	Very Low	Very Low	Low	Medium	Low	0%
