Age Water Gender
25 1.44 female
22 1.02 female
29 3.37 female
21 1.47 female
26 2.72 male
30 3.33 female
25 4.88 female
22 2.36 female
24 2.41 female
22 0.02 male
19 2.03 female
24 3.32 male
19 3.04 male
30 3.12 female
23 2.41 female
26 2.11 male
21 1.64 male
18 1.2 male
21 2.66 female
20 1.55 male
26 2.39 male
18 0.72 female
21 0.32 female
23 2.75 female
22 2.98 female
27 2.42 female
29 4.52 male
20 3.78 female
22 2.1 female
27 0.89 male
18 0.95 female
18 0.65 male
23 1.93 male
29 3.96 male
30 4.99 female
18 1.29 male
26 1.79 female
25 3.58 male
22 2.09 female
20 0.96 female
26 3.3 female
19 3.54 male
19 3.18 female
23 2.02 male
19 1.07 female
25 3.67 female
23 1.71 male
30 4.16 male
19 2.98 female
18 2.27 male
