vers  count  date
1.3   110   2001-06-21
1.4   129   2001-12-17
1.5   161   2002-06-12
1.7   219   2003-05-25
1.8   273   2003-11-16
1.9   357   2004-06-05
2.0   406   2004-10-12
2.1   548   2005-06-18
2.2   647   2005-12-16
2.3   739   2006-05-31
2.4   911   2006-12-12
2.5   1000  2007-04-12
2.6   1300  2007-11-16
2.7   1495  2008-03-18
2.8   1614  2008-10-20
2.9   1907  2009-04-17
2.10  2008  2009-10-26
""    3000  2011-05-12
2.15  3976  2012-09-21
""    5000  2013-11-08
3.1   5745  2014-08-22
3.2   6706  2015-06-07
3.2.2 7547  2015-12-07
3.2.3 7969  2016-03-01
3.3.1 9004  2016-08-22
3.3.2 9961  2017-01-28
3.4.3 11991 2017-12-15
